,titre,jour_publication,auteur,categorie
136,Un nouveau site pour «Libération»,2021/02/01,dov-alfon,Plus
137,#Le1erJeRouvre : l’extrême droite en embuscade,2021/02/01,maxime-mace,Société
138,Fabienne Brugère : «Les politiques néolibérales sont toujours là »,2021/02/01,liberation,Forums
139,"Flambée des prix de l'électricité : un effet Covid, mais pas que
",2021/02/01,pauline-achard,Economie
140,Une mère française en grève de la faim pour faire rapatrier sa fille détenue en Syrie,2021/02/01,luc-mathieu,International
141,"«Beauvau de la sécurité», tout ça pour ça",2021/02/01,ismael-halissat,Politique
142,"Pour affiner ses idées avant la présidentielle, le PS se lance dans des débats en live",2021/02/01,sacha-nelken,Politique
143,"Derrière la révolte des Libanais, une pauvreté systémique",2021/02/01,hala-kodmani,International
144,Sixième dose du vaccin Pfizer : 10 millions de seringues adaptées attendues cette semaine,2021/02/01,anais-condomines,Société
145,Droits télé du foot français : échec cuisant de l'appel d'offres de la Ligue,2021/02/01,adrien-franque,Médias
146,Anticor : «Les affaires dans lesquelles nous sommes investis dérangent»,2021/02/01,laurent-leger,Société
147,Mère de deux enfants menacée d’expulsion : «Je veux juste un toit»,2021/02/01,elsa-maudet,Société
148,Les cicatrices sociales et économiques du Covid,2021/02/01,pierre-yves-geoffard,Idées et Débats
149,Le marin est-il un confiné comme les autres ?,2021/02/01,luc-le-vaillant,Idées et Débats
150,Mal-logement : le parc HLM paralysé par le Covid,2021/02/01,elsa-maudet,Société
151,"Alexeï Navalny : vent debout, jusqu’au bout",2021/02/01,veronika-dorman,International
152,Le RN toujours pas près de rembourser ses prêts,2021/02/01,tristan-berteloot,Politique
153,Le Kremlin fait monter la répression,2021/02/01,tristan-berteloot,International
154,Destin,2021/02/01,alexandra-schwartzbrod,Idées et Débats
155,Un collectif d'élus et d'acteurs du monde sportif présentent un plan de relance du sport amateur,2021/02/01,romain-metairie,Sports
156,"Coup d'Etat militaire en Birmanie, examen de la loi «séparatisme», campagne vaccinale dans l'UE : l'essentiel de l'actualité de ce lundi",2021/02/01,liberation,International
157,Vaccins : quelle mouche a piqué Ursula von der Leyen ?,2021/02/01,jean-quatremer,International
158,Birmanie : «Le retour à des pratiques anciennes autoritaires est toujours possible»,2021/02/01,laurence-defranoux,International
159,Birmanie : l’armée fait le coup du retour à la dictature,2021/02/01,arnaud-vaulerin,International
160,"Arrestation d’Aung San Suu Kyi, une Dame en peine",2021/02/01,arnaud-vaulerin,International
161,Instagram tolère #lesbian mais planque #lesbians,2021/02/01,balla-fofana,Lifestyle
162,"Aux Etats-Unis, la police de Rochester dans le collimateur après avoir brutalisé une fillette  ",2021/02/01,justine-daniel,International
163,Manif contre la loi «sécurité globale» : le lourd CV du commissaire serial-frappeur ,2021/02/01,liberation,Société
164,Mais pourquoi donc faut-il sauver le soldat Blanquer?,2021/01/31,christian-lehmann,Idées et Débats
165,"Un mois de vaccination : quand l'intendance doit suivre, et raconte",2021/01/31,olivier-monod,Société
166,"Où en est la campagne de vaccination des résidents en Ehpad ? 
",2021/01/31,thais-chaigne,CheckNews
167,"Post-partum : «Quand on est mère, un seul discours est audible, celui de la plénitude»",2021/01/31,virginie-ballet,Société
168,Les moufles de Bernie Sanders bientôt disponibles à la vente,2021/01/31,elsa-maudet,International
169,Des contre-Facebook polonais et hongrois au service des gouvernements ?,2021/01/31,nelly-didelot,International
170,"Tokyo 2021 : aucun report envisagé, assure le président du CIO",2021/01/31,julien-lecot,International
171,Manifestations pro-Navalny : plus de 4 400 personnes arrêtées en Russie,2021/01/31,liberation,International
172,Quelles sont les dérogations pour voyager en dehors de l'Union européenne ? ,2021/01/31,emma-donada,CheckNews
173,"Au Japon, les JO de Tokyo sans vaccination obligatoire ?",2021/01/31,karyn-nishimura,International
174,Messi a coûté plus de 550 millions d'euros au Barça en quatre ans,2021/01/31,liberation,Sports
175,"Une licence ouverte pour les vaccins, douce utopie ou arme fatale anti-Covid ?",2021/01/31,camille-gevaudan,Sciences
176,"La Pokémania, c’est encore de la balle",2021/01/31,fanny-guyomard,Lifestyle
177,"Sur LCP, des «Grands entretiens» entre introspection et résilience",2021/01/31,sabrina-champenois,Lifestyle
178,Jürgen Habermas : «La pandémie met à l’épreuve notre degré de civisme»,2021/01/31,simon-blin,Idées et Débats
179,"Yannick Bestaven, à bon port",2021/01/31,didier-ravon,Sports
180,"Burkini, un procès en hiver",2021/01/31,daniel-schneidermann,Idées et Débats
181,On voudrait pas crever sans avoir dit un mot,2021/01/31,daniel-schneidermann,Idées et Débats
182,"Madelynn Green, peinture sur étoiles",2021/01/31,judicael-lavrador,Arts
183,Centre national de la musique : une première année  et du pain sur la planche,2021/01/31,olivier-lamm,Culture
184,La poudre de Berlin pimpant d’Albertine Sarges,2021/01/31,charline-lecarpentier,Culture
185,Livreurs à vélo : «On ne va pas se féliciter qu’un employeur respecte le code du travail»,2021/01/31,adrien-franque,Economie
186,Algérie : six mois de prison en appel contre un militant qui s'était moqué du pouvoir en ligne,2021/01/31,liberation,International
187,"Covid-19 : au Portugal, situation chaotique et escalade des contaminations",2021/01/31,liberation,International
188,"En Hongrie, une autorisation très politique du vaccin Sinopharm",2021/01/31,nelly-didelot,International
189,"A Marseille, l'OM submergé par sa crise",2021/01/31,gregory-schneider,Sports
190,Chasse : les oies cendrées ne seront pas tirées en février,2021/01/31,florian-bardou,Environnement
191,Investir,2021/01/31,alexandra-schwartzbrod,Idées et Débats
192,Le casse-dette de la facture Covid,2021/01/31,denis-allard,Economie
193,"Six milliards en six minutes, les «traders» de l’emprunt turbinent",2021/01/31,franck-bouaziz,Economie
194,"GameStop : Reddit spécule, les loups de Wall Street capitulent",2021/01/31,philippe-coste,International
195,"L’effacement des créances, idée en marche à gauche",2021/01/31,charlotte-belaich,Economie
196,«Il n’y a pas de problème de dette publique en France»,2021/01/31,jerome-lefilliatre,Economie
197,Les splendeurs de Sophie,2021/01/31,olivier-lamm,Culture
198,Mineurs isolés en apprentissage : «Ces jeunes ont le sentiment qu’ils jouent leur vie»,2021/01/31,sans auteur,Société
199,Petits patrons et jeunes migrants : «Je ne pensais pas qu’en France un patron pouvait faire ça pour nous»,2021/01/31,gurvan-kristanadjaja,Société
200,Petits patrons et jeunes migrants : unis par les liens de l’apprentissage,2021/01/31,gurvan-kristanadjaja,Société
201,"Répression des manifs pro-Navalny en Russie, nouvelles mesures sanitaires, mort de Michel Le Bris : l'essentiel de l'actualité de ce week-end",2021/01/31,liberation,International
202,La Pologne et la Hongrie se dotent de réseaux sociaux «anticensure»,2021/01/31,nelly-didelot,International
203,"Le Portugal débordé par le Covid : «Clairement, les choses vont très mal»",2021/01/31,nelly-didelot,International
204,Russie : La répression des pro-Navalny se poursuit,2021/01/31,nelly-didelot,International
205,Loi «séparatisme» : la longue marche vers l’équilibre,2021/01/31,laure-equy,Société
206,Crises à l’OM : Marseille s’enfonce dans l’amer,2021/01/31,gregory-schneider,Sports
207,Somalie : un hôtel de Mogadiscio visé par une attaque des shebab,2021/01/31,liberation,International
208,Des milliers d'arrestations lors de manifestations pro-Navalny en Russie,2021/01/31,liberation,International
209,Agression de Yuriy : neuf jeunes mis en examen,2021/01/30,liberation,Société
210," Vaccination en Ehpad : «L’enjeu, c’est de ne surtout pas gaspiller une seule dose»",2021/01/30,virginie-ballet,Société
211,Loi sur la maltraitance animale : quelles mesures ont adopté les députés ?,2021/01/30,margaux-lacroux,Environnement
212,"Les lecteurs aveugles et malvoyants, oubliés du monde de l'édition",2021/01/30,elsa-maudet,Culture
213,"Michel Le Bris, voyageur sans retour ",2021/01/30,frederique-roussel,Culture
214,"Sophie, mort d'une visionnaire de la pop",2021/01/30,olivier-lamm,Culture
215,Jürgen Habermas : «La pandémie met à l’épreuve notre degré de civisme»,2021/01/30,simon-blin,Idées et Débats
216,"A Séoul, sois mère et tais-toi",2021/01/30,marlene-thomas,Idées et Débats
217,Dispute avec l'UE sur le vaccin AstraZeneca : une aubaine pour Johnson et les Brexiters,2021/01/30,marlene-thomas,International
218,"Yannick Jadot lance sa plateforme présidentielle 
",2021/01/30,rachid-laireche,Politique
219,Dix ans d’humanitaire en Syrie,2021/01/30,rachid-laireche,Idées et Débats
220,"A l'OM, fronde de supporteurs et match annulé",2021/01/30,ramses-kefi,Sports
221,Quels sont les commerces concernés par les fermetures ?,2021/01/30,margaux-lacroux,Société
222,"Fermeture des centres commerciaux : à Marseille, une ambiance courses de Noël en plein mois de janvier",2021/01/30,stephanie-harounyan,Société
223,Loi «sécurité globale» : la revanche des teufeurs,2021/01/30,stephanie-harounyan,Politique
224,Enfants nés d'une GPA : refusons le retour des fantômes de la République,2021/01/29,stephanie-harounyan,Idées et Débats
225,"En entreprise, des ambianceurs pour des visios moins mornes",2021/01/29,fanny-guyomard,Lifestyle
226,"Les nouvelles mesures sanitaires toujours en réflexion, récession massive en France en 2020, vaccin AstraZeneca... l'actu de ce vendredi matin",2021/01/29,liberation,International
227,Un masque de sport anti-Covid bientôt commercialisé pour s'entraîner sans s'asphyxier,2021/01/29,romain-metairie,Sports
228,"Le Cam, le héros, le miraculé, le roi, le showman",2021/01/29,liberation,Sports
229,"En Birmanie, le drôle de coup de l'armée",2021/01/29,arnaud-vaulerin,International
230,"Après les Comores, le variant sud-africain frappe Mayotte et La Réunion",2021/01/29,laurent-decloitre,Société
231,Le Covid a provoqué une récession massive en France en 2020,2021/01/29,liberation,Economie
232,Les Allemands ne respectant pas la quarantaine à domicile sont-ils placés dans des «camps» ?,2021/01/29,jacques-pezet,CheckNews
233,"Silence on joue ! «Olija», «La ferme des animaux», «Resident Evil 8»",2021/01/29,jacques-pezet,Jeux vidéo
234,"Au commencement, Joe Biden…",2021/01/29,isabelle-hanne,International
235,L'exécutif en sueur pour confiner le mot «confinement»,2021/01/29,chez-pol,Politique
236,"Mort de l'actrice Cloris Leachman, infatigable Frau Blücher",2021/01/29,lelo-jimmy-batista,Culture
237,"A Pôle Emploi, le «temps du recueillement» après le choc de Valence",2021/01/29,benjamin-delille,Société
238,"Cicely Tyson, rebelle pour la juste cause",2021/01/29,leo-soesanto,Cinéma
239,Avortement : qu'est-ce que la «règle du bâillon mondial» révoquée par Biden ?,2021/01/29,marlene-thomas,International
240,Covid-19 : faut-il désormais respecter deux mètres de distance ? ,2021/01/29,emma-donada,CheckNews
241,Handball : les Bleus et le «bavard» Remili visent la finale,2021/01/29,rico-rizzitelli,Sports
242,Séparatismes : Marine Le Pen dégaine son «contre-projet» de «légitime défense» aux islamistes,2021/01/29,tristan-berteloot,Société
243,L’auguste combat du juge Guzmán,2021/01/29,olivier-bras,International
244,"Jean Zay reviens vite, ils sont devenus fous !",2021/01/29,olivier-bras,Idées et Débats
245,Banlieues : Castex envoie quelques signaux et une enveloppe aux quartiers,2021/01/29,olivier-bras,Politique
246,"En Inde, le long mouvement de protestation des agriculteurs s'envenime",2021/01/29,sebastien-farcis,Idées et Débats
247,L'étudiante Diary Sow de retour au Sénégal,2021/01/29,liberation,International
248,"«En thérapie», séances prenantes",2021/01/29,clelia-cohen,Culture
249,Vanessa Codaccioni : «Les injonctions à la vigilance  de la part des institutions font de nous des auxiliaires de la police ou des délateurs»,2021/01/29,simon-blin,Idées et Débats
250,Mélasse-moi tranquille,2021/01/29,marie-klock,Culture
251,"«Libres !», injonctions mesdames et messieurs",2021/01/29,camille-nevers,Culture
252,Arca en profondeurs,2021/01/29,olivier-lamm,Culture
253,"Pierre Salvadori : «Ça a été notre grand travail, ce “suspense narratif”»",2021/01/29,clelia-cohen,Culture
254,"Ralf Marsault, la ligne marginaux",2021/01/29,gilles-renault,Culture
255,Twitter et le monde,2021/01/29,tania-de-montaigne,Idées et Débats
256,Ras le Covid,2021/01/29,mathieu-lindon,Idées et Débats
257,Kate Moran : «Ce qui passe à la radio m’effraie»,2021/01/29,david-michel,Culture
258,"Buzzy Lee, souffle de soie",2021/01/29,alexis-bernier,Culture
259,Apprendre à attendre,2021/01/29,jacky-durand,Gastronomie
260,François Ravard : «Les groupes d’aujourd’hui sont si propres…»,2021/01/29,alexis-bernier,Culture
261,La tête au cauris,2021/01/29,balla-fofana,Mode
262,Classement datalib  des meilleures ventes  de livres (semaine  du 22 au 28/01/2021),2021/01/29,claire-devarrieux,Culture
263,"Kathy Acker, beat humaine",2021/01/29,thomas-stelandre,Culture
264,La maison mère d'Ann Patchett,2021/01/29,claire-devarrieux,Culture
265,Max Lobe frontal,2021/01/29,frederique-fanchette,Culture
266,"Leiris et Jouhandeau, nuits et châtiment",2021/01/29,mathieu-lindon,Culture
267,"Alain Chapel, legs majesté",2021/01/29,jacky-durand,Gastronomie
268,Eric Laurrent aux Bains des années 80,2021/01/29,jacky-durand,Culture
269,Voyage «en Pandémie»,2021/01/29,frederique-roussel,Culture
270,"Laurent Faulon, les maux bleus",2021/01/29,clementine-mercier,Culture
271,Le Parlement portugais autorise l’euthanasie,2021/01/29,julien-lecot,International
272,Dolores Redondo : «J’aime écrire sur la capacité à faire le mal» ,2021/01/29,alexandra-schwartzbrod,Culture
273,L’interdiction du commerce d’ivoire soumise aux citoyens européens,2021/01/29,florian-bardou,Environnement
274,Vaccin Pfizer : le risque de pénurie en seringues adaptées menace-t-il l'extraction de la sixième dose ?,2021/01/29,anais-condomines,CheckNews
275,"Chez Carambar, la direction profite d'un déménagement pour baisser les salaires",2021/01/29,stephanie-maurice,Société
276,Langues vivantes,2021/01/29,stephanie-maurice,Culture
277,Crise politique à Rome : les amitiés saoudiennes de Matteo Renzi exaspèrent l'Italie,2021/01/29,eric-jozsef,International
278,Jean-Luc Gleyze : «La solidarité doit être conçue dans la proximité»,2021/01/29,liberation,Forums
279,"Au Maroc, des voix dissidentes condamnées par la justice",2021/01/29,celian-mace,International
