titre,jour_publication,categorie
Isabelle Balkany placée sous bracelet électronique : elle réagit à cette “sanction” dans TPMP,2021/02/19,politique
"Patrick Poivre d'Arvor : pourquoi son ex-compagne, Agathe Borne, avait porté plainte contre lui",2021/02/19,people
Khloé Kardashian : la star accepterait-elle que Kylie Jenner redevienne amie avec Jordyn Woods ? Elle répond !,2021/02/19,people
Ted Cruz : pourquoi un voyage du sénateur américain fait-il scandale ?,2021/02/19,politique
"Virgil (Les Anges) :  interné en hôpital psychiatrique, son ex Margot sort du silence ",2021/02/19,people
Charlie Hunnam est-il anglais ou américain ?,2021/02/19,people
Letizia d'Espagne : son père prend une grande décision pour sa famille,2021/02/19,royautes
Meghan et Harry et la famille royale c'est fini : le couple a informé la reine qu'il ne reviendrait pas,2021/02/19,royautes
Shy'm : quel est le prénom de son fils ?,2021/02/19,people
Alexandre Brasseur : comment a-t-il rencontré sa femme Juliette ?,2021/02/19,people
"Entièrement nu sur Instagram, Baptiste Giabiconi séduit les internautes... et Ricky Martin !",2021/02/19,people
Claire Chazal : ses anciennes confidences sur sa relation amoureuse avec Patrick Poivre d'Arvor,2021/02/19,people
Pierre Arditi et Evelyne Bouix ont-ils eu des enfants ensemble ?,2021/02/19,people
Simon Castaldi : ses douloureuses confessions sur le divorce de ses parents,2021/02/19,people
"“Colères d'enfant”, “conneries de com'... Emmanuel Macron étrillé par ses proches sur la crise du Covid-19",2021/02/19,politique
Véronique Jannot : de quelle maladie a été atteinte l'actrice ?,2021/02/19,people
"Caitlyn Jenner : qui a été sa première femme, Chrystie Crownover ?",2021/02/19,people
Princesse Eugenie maman : cet acte chirurgical qu'elle a été obligée de subir pour son accouchement,2021/02/19,royautes
Véronique Jannot : retour sur son histoire d'amour avec Laurent Voulzy,2021/02/19,people
INFO CLOSER. Patrick Poivre d'Arvor accusé de viols : il annule à la dernière minute sa venue sur CNews,2021/02/19,people
"Tahar Rahim papa d'une petite fille : cet événement miraculeux qui lui a permis d'assister à l'accouchement de sa compagne, Leïla Bekhti",2021/02/19,people
Louane : de quoi est mort son père quand elle avait 16 ans ?,2021/02/19,people
Daniel Biasini et Romy Schneider : retour sur leur histoire d'amour,2021/02/19,people
Malia Obama décroche son premier job chez Amazon Prime Video,2021/02/19,people
Albert de Monaco en deuil : il perd une femme qui a énormément compté dans sa vie,2021/02/19,royautes
Richard Berry accusé d'inceste : Bernard Montiel a échangé avec l'acteur et se confie,2021/02/19,people
"Kim Kardashian : qui sont ses demi-frères méconnus, Brody, Casey, Brandon, Burt ?",2021/02/19,people
Patrick Poivre d'Arvor accusé de viols : le journaliste contre-attaque,2021/02/19,people
Patrick Poivre d'Arvor accusé de viols : ce jour où il se serait masturbé sur le canapé d'une journaliste,2021/02/19,people
Patrick Poivre d'Arvor : ce jour où il a uriné sur le canapé de Claire Chazal,2021/02/19,people
Jalil Lespert : ce rôle important que le réalisateur pourrait jouer pour rapprocher Laeticia Hallyday et Laura Smet,2021/02/19,people
Horoscope 2021 : les prévisions du 19 au 25 février,2021/02/19,insolite
DALS : les rares confidences de Chris Marques sur sa femme Jaclyn Spencer,2021/02/19,people
"Patrick Poivre d'Arvor accusé de viols : que contient la plainte de Florence Porcel, sa victime présumée ?",2021/02/19,people
DALS : les rares confidences de Chris Marques sur sa maladie,2021/02/19,people
Jalil Lespert gêné par la médiatisation de sa relation avec Laeticia Hallyday ? Il se confie pour la première fois,2021/02/19,people
"Sean Connery : sa ""villa James Bond"" de Nice divisée en deux à cause de son prix trop élevé",2021/02/19,people
Le prince Philip hospitalisé : le prince Harry sur le point de rentrer d'urgence au Royaume-Uni,2021/02/19,royautes
Caitlyn Jenner : qui sont ses six enfants ? ,2021/02/18,people
Véronique Jannot : qui était son grand amour Didier Pironi ?,2021/02/18,people
Jean-Marie Bigard : sa femme Lola Marois fait une petite confidence sur sa santé,2021/02/18,people
"""Je ne vous demande pas votre avis"" : l'avocat de Richard Berry recadre avec mépris Anne-Élisabeth Lemoine",2021/02/17,people
"Camille Kouchner très émue en évoquant sa ""tante chérie"" Marie-France Pisier",2021/02/16,people
Camille Kouchner : son demi-frère Alexandre évoque l'impact de ses révélations sur sa famille,2021/02/15,politique
Cristina Cordula : son tendre cliché avec son mari pour la fête des amoureux,2021/02/14,people
Laeticia Hallyday et Jalil Lespert amoureux : leur vidéo très romantique pour la Saint-Valentin,2021/02/14,people
Meghan Markle : la femme du prince Harry enceinte de son deuxième enfant,2021/02/14,royautes
Roselyne Bachelot : le stratagème de son père pour la faire entrer en politique,2021/02/14,politique
"Hélène de Fougerolles : en larmes, elle évoque l'autisme de sa fille Shana",2021/02/14,people
Shy'm : la chanteuse dévoile un rare cliché du père de son fils,2021/02/14,people
Karine Le Marchand célibataire ? Son drôle de message pour la Saint-Valentin,2021/02/14,people
Kate Middleton : la duchesse très élégante en pull blanc pour une visioconférence,2021/02/14,royautes
"TEMOIGNAGE. “Nous avons eu le coup de foudre à la fac, on ignorait notre rencontre en vacances à 6 ans”",2021/02/14,vecu
TEMOIGNAGE. “J'ai tout plaqué pour parcourir le monde et j'ai trouvé l'amour à 8 000 km de chez moi”,2021/02/14,vecu
Carla Bruni : cette vidéo vintage en bikini à paillettes qui refait surface pour la Saint-Valentin,2021/02/14,people
Disparition de Delphine Jubillar : pourquoi son mari Cédric peine à retrouver du travail,2021/02/14,vecu
"Donald Trump : acquitté par le Sénat américain, il revient en force",2021/02/14,politique
Laura Smet amoureuse : cliché inédit et tendres mots à Raphaël Lancrey-Javal pour la Saint-Valentin,2021/02/14,people
Iris Mittenaere enceinte ? La réponse cash de la chérie de Diego El Glaoui,2021/02/14,people
"Camille Lou : en larmes, elle se confie sur sa relation avec ses parents",2021/02/14,people
Disparition de Delphine Jubillar : les résultats des investigations au domicile du couple dévoilés,2021/02/14,vecu
Vincent Cassel : sa belle déclaration à Tina Kunakey pour la Saint-Valentin,2021/02/14,people
Olivier Duhamel : les confidences alarmantes de son ami Jean Veil,2021/02/14,politique
Closer vous invite à la Masterclass AstroLOVE : mieux se connaître grâce à l'astrologie pour une vie amoureuse épanouie ,2021/02/14,insolite
Isabelle Nanty : de quel trouble souffre l'actrice ?,2021/02/14,people
Delphine Jubillar : une dispute aurait éclaté avec son mari Cédric le soir de sa disparition,2021/02/14,vecu
Vianney bouleversé par un candidat de The Voice après sa prestation sur l'avortement,2021/02/14,people
Isabelle Adjani : sa lettre à Robert Hossein dans l'au-delà,2021/02/12,people
Loana : est-elle soignée pour sa bipolarité ?,2021/02/12,people
"Brigitte Macron : la Première dame se lâche sur ""I will survive""",2021/02/11,people
Samuel Le Bihan engagé : son nouveau défi pour l'environnement,2021/02/11,people
"""Vous m'avez fait du bien"" : cette conversation sans filtre qui a regonflé à bloc Brigitte Macron",2021/02/11,politique
EXCLU. Laeticia Hallyday et Jalil Lespet à Saint-Barth : pourquoi est-elle arrivée une semaine après son chéri ?,2021/02/11,people
Cet imposant collier H&M arboré par Victoria de Suède pour lancer la Stockholm Fashion Week,2021/02/11,royautes
Lynda Carter en deuil : la star de Wonder Woman annonce la mort de son mari,2021/02/11,people
EXCLU. Laeticia Hallyday : un acquéreur très intéressé par sa villa de Pacific Palisades,2021/02/11,people
Richard Berry accusé d'inceste : ces preuves que Coline Berry aurait remises aux enquêteurs,2021/02/11,people
Une image rarissime : les soeurs Minogue réunies pour une virée shopping chez Vuitton à Melbourne,2021/02/11,people
Leonardo DiCaprio : ces souvenirs de Titanic qu'il gardait religieusement dans l'une de ses maisons,2021/02/11,people
"Julien Clerc : pourquoi il n'a pas voulu avoir un deuxième enfant avec sa femme, Hélène",2021/02/11,people
EXCLU. Laeticia Hallyday et Jalil Lespert à Saint-Barth : ce tour de passe-passe qui leur a permis de se retrouver,2021/02/11,people
Jennifer Lopez abandonne ses longs cheveux pour une coupe garçonne,2021/02/11,people
Princesse Eugenie maman : les détails de son accouchement royal,2021/02/11,royautes
"Immolée par le feu dans sa voiture, avec ses trois enfants, par son mari qui jouait à l'homme parfait sur Instagram",2021/02/11,vecu
Jean-Luc Mélenchon : quelle est la seule condition qu'il a imposée pour venir dans Balance ton post ?,2021/02/11,politique
"""Mon arrivée dans l'industrie de la musique a été traumatisante"" : la chanteuse Pomme jette un pavé dans la mare",2021/02/11,people
"Jeane Manson : qui était son premier mari, André Djaoui ?",2021/02/11,people
Saint-Valentin : une coiffeuse propose à ses clients des rencontres au supermarché,2021/02/11,vecu
Meghan Markle : ces détails que les fans n'ont pas raté lors de ses dernières apparitions,2021/02/11,royautes
Priyanka Chopra : ce tatouage qu'elle a fait en hommage à son père décédé,2021/02/11,people
Shy'm maman : la chanteuse dévoile un nouveau cliché trop mignon de son fiston,2021/02/11,people
"Nue sur Instagram, Emily Ratajkowski dévoile sa nouvelle coupe de cheveux",2021/02/11,people
#SciencesPorcs : cette ultime conséquence de l'affaire Olivier Duhamel,2021/02/11,vecu
Richard Berry accusé d'inceste : sa fille Coline face aux enquêteurs depuis ce jeudi matin,2021/02/11,people
Letizia d'Espagne : son look discret avec une jolie pièce signée Hugo Boss,2021/02/11,royautes
Un adolescent soupçonné de se travestir pour voler des retraités,2021/02/11,vecu
Cameron Diaz : son remède insolite contre la gueule de bois,2021/02/11,beaute
"Gérald Darmanin : qui est sa femme, Rose-Marie Devillers ?",2021/02/11,politique
Julien Clerc : pourquoi il a consulté un thérapeute après sa séparation avec France Gall,2021/02/11,people
Beyoncé : cette raison pour laquelle elle a envié sa petite sœur Solange,2021/02/11,beaute
"Kate et William : cette grande star qu'ils veulent ""apprendre à connaître""",2021/02/11,royautes
"Séparée du footballeur Jérôme Boateng depuis une semaine, Kasia Lenhardt a été retrouvée morte à son domicile",2021/02/11,people
Princesse Leonor d'Espagne : ce prestigieux établissement où elle va étudier au Pays de Galles,2021/02/11,royautes
Zoom : un avocat coincé avec un filtre chat provoque une situation burlesque en pleine réunion,2021/02/11,vecu
Jean-Pierre Pernaut : son petit message à sa femme et ses enfants au début de son livre,2021/02/11,people
Ségolène Royal : ce petit pied-à-terre qu'elle s'est offert à Trouville,2021/02/11,politique
Anthony Delon très marqué : il partage un message ému après la mort de sa mère,2021/02/11,people
"Meghan Markle : ses projets politiques sont-ils trop ""risqués"" ?",2021/02/11,royautes
Nathalie Saint-Cricq : qui est son mari Patrice Duhamel ?,2021/02/11,politique
Charisma Carpenter (Buffy) porte de lourdes accusations contre le réalisateur de la série,2021/02/11,people
Elizabeth II : un recrutement déconcertant et mystérieux à Buckingham Palace,2021/02/11,royautes
Loana : l'ex-lofteuse est-elle en couple ?,2021/02/11,people
"Disparition de Delphine Jubillar : la piste d'un ""voisin pressant"" dont elle avait ""peur"" étudiée",2021/02/11,vecu
Lady Di : ses discrètes séances d'essayage qu'elle organisait pour éviter des moments de gêne,2021/02/11,royautes
Jane Birkin jalouse maladive avec John Barry : cet acte de violence qu'elle s'infligeait,2021/02/11,people
Prince : qui a hérité de la fortune du chanteur ?,2021/02/11,people
"Mort de Larry Flynt, magnat du porno : qui sont ses cinq enfants ?",2021/02/11,people
Une femme de 78 ans laissée sur un matelas par terre à l'hôpital après s'être cassé les hanches,2021/02/11,vecu
Béatrice Borromeo : la très chic belle-fille de Caroline de Monaco nommée ambassadrice Dior,2021/02/11,royautes
La star de TikTok Dazharia Shaffer est morte à l'âge de 18 ans,2021/02/11,people
Benjamin Castaldi fou de rage se met à hurler contre un intervenant dans TPMP,2021/02/11,people
Loana : pourquoi elle a des problèmes de mâchoire,2021/02/10,people
Delphine Jubillar : son portable s'est réactivé durant plusieurs heures mardi soir,2021/02/10,vecu
"Loana métamorphosée : mieux dans sa peau, elle dévoile sa nouvelle silhouette dans TPMP",2021/02/10,people
"Loana émue aux larmes dans TPMP : elle évoque les violences conjugales dont elle a été victime : ""Il m'a fait 30 hématomes en 4 heures""",2021/02/10,people
Angelina Jolie : pourquoi s'est-elle rapprochée de Brad Pitt en pleine pandémie ?,2021/02/09,people
Armie Hammer au coeur d'une enquête pour meurtre ? La police obligée de donner des explications,2021/02/09,people
Kobe Bryant : le pilote de l'hélicoptère n'était pas qualifié pour piloter dans le brouillard,2021/02/09,people
Cyril Lignac poste un cliché de son père et il y a un air de famille,2021/02/09,people
Hommage à Robert Hossein : Brigitte Macron complice avec Claude Lelouch pour leur dernier adieu,2021/02/09,people
La princesse Eugenie est devenue maman pour la première fois,2021/02/09,royautes
Marie Drucker passionnée de yoga : elle dévoile son futur projet,2021/02/09,people
"Aux États-Unis, une femme gagne à la loterie deux fois en deux jours",2021/02/09,vecu
"Sœur André, doyenne des Européens, a vaincu le Covid-19 : ""Je n'ai pas su que je l'avais""",2021/02/09,vecu
Charlene de Monaco le crâne rasé : elle opte pour une coupe encore plus courte,2021/02/09,royautes
Lady Di : les suppositions choc d'un ami de la princesse sur la querelle de ses deux fils,2021/02/09,royautes
"Edouard Baer touché par la Covid-19 : ""J'ai failli tuer tout le cinéma français""",2021/02/09,people
Meghan Markle : cette petite habitude qu'Archie adore avec la reine,2021/02/09,royautes
"“Vraies victimes”, “faux coupables” : la réaction très forte de Gérard Louvin après les nouvelles plaintes pour violences sexuelles",2021/02/09,people
"Au bord des larmes face à Philippe Vandel, Julie Zenatti révèle avoir subie, enfant, une agression sexuelle",2021/02/09,people
Meghan Markle et Harry engagés : leur visite surprise durant un cours de poésie fait l'unanimité,2021/02/09,royautes
Le terrible mensonge de Loana à propos de sa fille Mindy,2021/02/09,people
Julien Courbet en deuil : son déchirant message après la disparition de son compagnon,2021/02/09,people
"Camille Lou bientôt maman ? ""Je suis née pour avoir des enfants""",2021/02/09,people
Julien Clerc féministe : ces attitudes envers les femmes qu'il revendique,2021/02/09,people
"Les Anges : après la bagarre à la Réunion, le tournage reprend à Saint-Domingue",2021/02/09,tv-tele-realite
Rebel Wilson métamorphosée : son look totalement inspiré de Meghan Markle ,2021/02/09,people
"François Bayrou tente d'éteindre la polémique après ses propos sur la ""classe moyenne""",2021/02/09,politique
Frédéric François confiné : comment le chanteur et sa femme ont ravivé la flamme dans leur couple,2021/02/09,people
"Syndrome du cœur brisé : avec le Covid-19, les cas se multiplient",2021/02/09,vecu
"Britney Spears sous tutelle depuis 20 ans : un mouvement créé pour la ""libérer""",2021/02/09,people
Salaud on t'aime : cette phrase ambigüe que Johnny avait eu envers Sandrine Bonnaire,2021/02/09,people
Gérard Louvin et Daniel Moyne accusés de viol : quatre nouvelles plaintes révélées,2021/02/09,people
Flavie Flament et Benjamin Castaldi : leurs magnifiques déclarations pour les 17 ans de leur fils Enzo,2021/02/09,people
Raphaël : le chanteur se confie sur son confinement et revient sur sa scène de ménage avec Mélanie Thierry,2021/02/09,people
Bénabar : ses rares confidences sur “ses moments difficiles”,2021/02/09,people
Bénabar : cette chanson qui aurait dû être pour Johnny Hallyday,2021/02/09,people
Priyanka Chopra : cette opération de chirurgie esthétique qu'on lui a recommandée pour devenir actrice,2021/02/09,people
Jean-Claude Carrière : l'incroyable récit qu'il avait fait de la naissance de sa fille Kiara,2021/02/09,people
Bruno Questel effondré : le député craque en évoquant son viol à la télévision,2021/02/09,politique
Renaud : son ami Bénabar donne de rares nouvelles du chanteur,2021/02/09,people
Mort de Jean-Claude Carrière : qui sont les femmes de sa vie ?,2021/02/09,people
Le scénariste Jean-Claude Carrière est mort à l'âge de 89 ans,2021/02/09,people
TPMP : Stéphane Tapie menacé par le braqueur de Kim Kardashian en direct,2021/02/09,people
Un homme a eu le bras dévoré par un lion lors d'un safari : il raconte sa nuit en enfer en Tanzanie,2021/02/07,vecu
Daniel Auteuil : ses confidences touchantes sur son enfance et sa relation avec sa mère,2021/02/07,people
"Julien Clerc : son tendre hommage à son ami, Etienne Roda-Gil, décédé en 2004",2021/02/07,people
Caitlyn Jenner : pourquoi ses filles Kendall et Kylie l'appellent toujours papa ?,2021/02/07,people
"Daniel Auteuil : qui est sa femme, Aude Ambroggi ?",2021/02/07,people
Kate Middleton : la duchesse se confie sur le soutien du prince William pendant le confinement ,2021/02/07,royautes
Julien Clerc : pourquoi a-t-il décidé de s'installer à Londres ?,2021/02/07,people
Joyca : le youtubeur aux 4 millions d'abonnés achète une maison à Bizeneuille après avoir perdu à Mario Kart,2021/02/07,people
Braquage de Kim Kardashian : un des braqueurs invité par Laurent Ruquier donne sa version des faits,2021/02/07,people
Olivia Wilde amoureuse : l'actrice est “très heureuse” avec Harry Styles,2021/02/07,people
Disparition de Delphine Jubillar : quelles sont les cinq hypothèses toujours étudiées par les enquêteurs ?,2021/02/07,vecu
Marilyn Manson accusé de violences sexuelles : de nouvelles révélations chocs sur les pratiques du chanteur ,2021/02/07,people
OM-PSG : découvrez les femmes des joueurs des deux équipes en photos,2021/02/07,people
"Jade Hallyday poste une première photo de ses vacances à Saint-Barth, son petit-ami Tristan ""sous le charme""",2021/02/06,people
Gigi Hadid : le mannequin a-t-elle eu recours à la chirurgie esthétique ?,2021/02/06,people
Kev Adams : l'humoriste raconte les dessous de son premier rendez-vous avec Iris Mittenaere,2021/02/06,people
Bruno Le Maire partage un rare cliché de son fils,2021/02/06,politique
Emmanuel Macron : ce célèbre programme TV dont le Président est fan,2021/02/06,politique
Guy Lux : ce jour où il a jeté un séchoir au visage d'une de ses assistantes,2021/02/06,people
Daniel Lévi touché par plusieurs cancers : comment le chanteur a découvert sa maladie,2021/02/06,people
Mory Sacko (Top Chef) étoilé au Michelin : la réaction très violente de François-Régis Gaudry en colère contre cette étoile,2021/02/06,people
Prince Harry bientôt à la TV : son projet mystère avec James Corden à Los Angeles,2021/02/06,royautes
Gil Alma compléxé par son sexe : l'acteur fait des révélations très courageuses sur son intimité,2021/02/06,people
"Elizabeth II : radio, presse, animaux… Découvrez la morning routine de la Reine",2021/02/06,royautes
Elizabeth II : quelle a été sa première réaction lorsqu'elle a appris la mort de son père ?,2021/02/06,royautes
Prince Harry : cette apparition surprise en vidéo pour fêter un anniversaire important,2021/02/06,royautes
Coline Berry “meurtrie” : comment vit-elle ses accusations d'inceste ?,2021/02/06,people
"Charles Ollivon : qui est Julia Vial, la chérie du capitaine du XV de France ?",2021/02/06,people
Benjamin Castaldi jaloux du succès de son fils Simon ? Son tacle envoyé dans TPMP,2021/02/06,people
Jennifer Lawrence : l'actrice blessée à l'oeil sur le tournage de son dernier film,2021/02/06,people
Laurent Maistret fait de rares confidences sur ses relations sexuelles pudiques,2021/02/06,people
Daniel Lévi atteint de plusieurs cancers : le chanteur se confie sur son état de santé préoccupant,2021/02/06,people
Stars à nu : les personnalités se sont-elles vraiment mises nues ?,2021/02/06,people
"Pierre Lescure : sa fille Anna révèle avoir été victime d'une agression sexuelle, en février 2019",2021/02/06,people
Mort de Christopher Plummer à l'âge de 91 ans,2021/02/05,people
Laeticia Hallyday amoureuse : cette vidéo de son baiser langoureux avec Jalil Lespert,2021/02/05,people
Magali Berdah : cette star de la chanson qu'elle admire en secret,2021/02/05,people
"Coline Berry ""prête et préparée à confronter son père""",2021/02/05,people
Shy'm jeune maman épanouie : elle poste une photo en train d'allaiter,2021/02/05,people
Ingrid Chauvin : l'actrice se confie sur sa rupture avec Thierry Peythieu,2021/02/05,people
Comment parler de ses fantasmes sexuels à son partenaire ?,2021/02/05,psycho-sexo
Laetitia Milot : ce cadeau très symbolique que lui a fait son papa pour Noël,2021/02/05,people
James Marsters (Buffy contre les vampires) divorce,2021/02/05,people
"“Poissonnière !” : qui est Mathilde Panot, la députée insultée à l'Assemblée ?",2021/02/05,people
"Karl Lagerfeld : son homme de main, Sébastien Jondeau, se confie sur l'héritage du Kaiser",2021/02/05,people
Whitney Houston : comment elle a sauvé sa fille juste avant de mourir,2021/02/05,people
George Clooney confiné : ce hobby improbable dont il ne peut plus se passer,2021/02/05,people
Brigitte Macron : cette petite phrase sur les addictions qui n'est pas passée inaperçue,2021/02/05,politique
Le boyfriend de Laury Thilleman rachète le restaurant de Norbert Tarayre,2021/02/05,people
Vincent Cassel : les rares confidences de l'acteur sur ses trois filles,2021/02/05,people
